session_title,session_abbreviation,session_type,session_topic,session_date,session_time_start,session_time_end,session_location,session_details,session_chair,abstract_title,abstract_time_start,abstract_time_end,authors,abstract_status,abstract_sort_order
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Investigating the Diffuse Ionized Gas in the Magellanic Stream with Mapped WHAM Observations,5:30 PM,6:30 PM,B. Smart*; L. M. Haffner; K. Barger; M. Hernandez,Sessioned,12
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Extended Ionized Halos and Bridge of the Magellanic Clouds,5:30 PM,6:30 PM,D. Krishnarao*; B. Smart; L. M. Haffner; K. Barger; G. J. Madsen; A. S. Hill; B. M. Gaensler,Sessioned,13
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Physical Properties of the Magellanic Bridge Tidal Remnant through Mapped Hα, [SII], and [NII] Emission",5:30 PM,6:30 PM,K. Barger*; L. M. Haffner,Sessioned,14
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"The Discovery of Galaxy Groups with Only Low Mass, Dwarf Members",5:30 PM,6:30 PM,S. Stierwalt*; S. Liss; K. E. Johnson; G. Besla; N. Kallivayalil; D. R. Patton; M. E. Putman,Sessioned,15
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Spectral Energy Distributions of Interacting Dwarf Galaxies,5:30 PM,6:30 PM,S. Liss*; K. E. Johnson; S. Stierwalt; N. Kallivayalil; G. Besla; D. R. Patton; G. C. Privon,Sessioned,16
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Using Rotation Curves for Low Surface Brightness Galaxies to Evaluate LCDM,5:30 PM,6:30 PM,E. Tarantino*; F. Lelli; S. McGaugh,Sessioned,17
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Stable State Simulations of Andromeda Dwarf Spheroidal Satellite Galaxies Using MOND,5:30 PM,6:30 PM,M. Walentosky*; B. Blankartz; S. Alexander; J. Messinger; A. Staron,Sessioned,18
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Getting to Know the Neighbors: Deep Imaging of the Andromeda Satellite Dwarf Galaxy Cassiopeia III with WIYN pODI,5:30 PM,6:30 PM,M. Smith*; K. L. Rhode; S. Janowiecki,Sessioned,19
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Photometric Calibration of DECam Images of the Sextans Dwarf Spheroidal Galaxy,5:30 PM,6:30 PM,B. Howard*; K. Vivas,Sessioned,20
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Mapping the Tidal Destruction of the Hercules Dwarf: A Wide-Field DECam Imaging Search for RR Lyrae,5:30 PM,6:30 PM,C. Garling*; B. Willman; J. R. Hargis; D. J. Sand; D. Crnojevic,Sessioned,21
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Ghostly Halos in Dwarf Galaxies: a probe of star formation in the Early Universe,5:30 PM,6:30 PM,H. Kang*; M. Ricotti,Sessioned,22
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Resolved Stellar Halo and Dwarf Satellite Population of NGC 3109,5:30 PM,6:30 PM,J. R. Hargis*; D. Crnojevic; D. J. Sand; B. Willman; K. Spekkens; C. J. Grillmair; J. Strader,Sessioned,23
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Survey of Localized Star Clusters in NGC 1427A,5:30 PM,6:30 PM,J. R. Weaver*; M. Gregg,Sessioned,24
Dwarf and Irregular Galaxies Poster Session,136,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Characterizing Dw1335-29, a Recently Discovered Dwarf Satellite of M83",5:30 PM,6:30 PM,A. Carrillo*; E. F. Bell; J. Bailin; A. Monachesi,Sessioned,25
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Formaldehyde in Absorption: Tracing Molecular Gas in Early-Type Galaxies,5:30 PM,6:30 PM,N. M. Dollhopf*; J. Donovan Meyer,Sessioned,1
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Stellar Populations of Shell Galaxies,5:30 PM,6:30 PM,S. Carlsten*; A. Zenteno,Sessioned,2
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An HI Survey of Extremely Isolated Early-type Galaxies,5:30 PM,6:30 PM,P. M. Marcum*; T. L. Ashley; M. N. Fanelli,Sessioned,3
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Dynamical Relationship Between the Bar and Spiral Patterns of NGC 1365,5:30 PM,6:30 PM,J. Speights*,Sessioned,4
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Measuring the Dark Matter Content of Galaxies with SALT,5:30 PM,6:30 PM,A. Bixel*; J. Sellwood; C. Mitchell,Sessioned,5
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spectral Observations of Superthin Galaxies,5:30 PM,6:30 PM,D. Bizyaev*; S. J. Kautsch; N. Y. Sotnikova; A. Mosenkov; V. P. Reshetnikov,Sessioned,6
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Searching for Non-Circular Motions in Halpha Velocity Fields,5:30 PM,6:30 PM,W. Peters*; R. Kuzio de Naray,Sessioned,7
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,High-Resolution Hα Velocity Fields of Nearby Spiral Galaxies with the Southern African Large Telescope,5:30 PM,6:30 PM,C. Mitchell*; T. Williams; K. Spekkens; K. Lee-Waddell; R. Kuzio de Naray; J. Sellwood,Sessioned,8
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The RINGS Survey: Optical Broadband Photometry,5:30 PM,6:30 PM,R. Kuzio de Naray*; C. Mitchell; K. Spekkens; J. Sellwood; T. Williams,Sessioned,9
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Influence of Companion Morphology on Dust Properties and Star Formation in Galaxy Pairs,5:30 PM,6:30 PM,D. L. Domingue*; C. Cao; C. K. Xu; T. Jarrett; J. Ronca; E. Hill,Sessioned,10
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Searching for Tidal Features in Galaxy Pair ARP 142,5:30 PM,6:30 PM,J. Ronca*; D. L. Domingue,Sessioned,11
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Scattered UV light in the interarm regions of M101,5:30 PM,6:30 PM,A. F. Crocker*; R. Chandar; D. Calzetti; B. Holwerda; C. Leitherer; C. Popescu; R. Tuffs,Sessioned,12
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Turbulence and Star Formation in a Sample of Spiral Galaxies,5:30 PM,6:30 PM,E. R. Maier*; D. A. Hunter; L. Chien,Sessioned,13
Elliptical and Spiral Galaxies Poster Session,135,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Star formation rates of spiral galaxies in the Cosmic Web,5:30 PM,6:30 PM,M. Alpaslan*; P. M. Marcum,Sessioned,14
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Detection and Characterization of Exoplanets using Projections on Karhunen-Loeve Eigenimages: Forward Modeling,5:30 PM,6:30 PM,L. Pueyo*,Sessioned,1
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Slimplectic Integrators: Variational Integrators for Nonconservative systems,5:30 PM,6:30 PM,D. Tsang*,Sessioned,2
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Variability in the pre-transit signal of HD 189733 b,5:30 PM,6:30 PM,P. W. Cauley*; S. Redfield; A. G. Jensen; T. Barman; M. Endl; W. D. Cochran,Sessioned,3
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Stellar Angular Diameter Relations for Microlensing Surveys,5:30 PM,6:30 PM,A. Adams*; T. S. Boyajian; K. von Braun,Sessioned,4
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Astrometry of Directly Imaged Exoplanets after PSF Subtraction using MCMC Forward Modeling,5:30 PM,6:30 PM,J. Wang*; J. R. Graham; L. Pueyo; J. Ruffio,Sessioned,5
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Adaptive Optics Imaging of Exoplanet Host Stars,5:30 PM,6:30 PM,M. Herman*; M. Waaler; J. Patience; K. Ward-Duong; A. Rajan; D. McCarthy; C. Kulesa; P. A. Wilson,Sessioned,6
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Study of the Effects of Underlying Assumptions in the Reduction of Multi-Object Photometry of Transiting Exoplanets,5:30 PM,6:30 PM,M. Fitzpatrick*; K. Pearson; C. A. Griffith; M. Dunn; N. J. Montiel; R. T. Zellem; J. Calahan; Q. Chance; A. Henrici; D. Sanchez,Sessioned,7
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Lithium Abundance in Planet Search Stars,5:30 PM,6:30 PM,J. Myles*,Sessioned,8
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Investigating Detailed Abundance Patterns in the Hyades Cluster,5:30 PM,6:30 PM,D. Williams*; S. C. Schuler,Sessioned,9
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Detailed Abundances of Stars with Small Planets Discovered by Kepler,5:30 PM,6:30 PM,S. C. Schuler*; Z. A. Vaz; O. J. Santrich; K. M. Cunha; V. V. Smith; J. R. King; L. Ghezzi; S. B. Howell; J. Teske,Sessioned,10
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Abundance Analysis of 10 Kepler Planetary Hosts,5:30 PM,6:30 PM,Z. A. Vaz*; S. C. Schuler; D. Williams; K. M. Cunha; V. V. Smith; L. Ghezzi; J. Teske,Sessioned,11
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characterizing the Period Ratio Distribution of Kepler Exoplanetary Systems,5:30 PM,6:30 PM,J. L. Conaway*; D. Ragozzine,Sessioned,12
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The mass of the super-Earth orbiting the brightest Kepler planet hosting star,5:30 PM,6:30 PM,M. Lopez-Morales*,Sessioned,13
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Transit, Secondary Eclipse, and Phase Curve Modeling to Characterize Kepler Exoplanet Candidates",5:30 PM,6:30 PM,J. Tarnas*; S. Redfield,Sessioned,14
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spitzer Meets K2: Spitzer Studies of Candidate Exoplanets Identified by K2,5:30 PM,6:30 PM,M. W. Werner*,Sessioned,15
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The HERMES K2 Follow-up Program at the Anglo-Australian Telescope,5:30 PM,6:30 PM,R. A. Wittenmyer*; S. L. Martell; J. Esdaile; S. Sharma; D. Stello,Sessioned,16
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Habitability Test of the Exoplanetary System K2-3,5:30 PM,6:30 PM,R. Diaz-Perez*; D. M. Kipping; J. A. Johnson,Sessioned,17
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Home Sweet Home?: Determining Habitability From the Eccentricities of Kepler-186,5:30 PM,6:30 PM,M. McTier*; D. M. Kipping,Sessioned,18
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Investigating the Orbital Period Valley of Giant Planets in Kepler Data,5:30 PM,6:30 PM,B. P. Thomas*; J. L. Birkby,Sessioned,19
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Are there exoplanets near their Roche limits?,5:30 PM,6:30 PM,T. Sanders*; S. Chatterjee; F. A. Rasio; F. Valsecchi,Sessioned,20
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Introducing an unknown companion in the Kepler-56 system (via radial velocity observations and dynamical analysis),5:30 PM,6:30 PM,O. J. Otor*; B. T. Montet; J. A. Johnson,Sessioned,21
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characterizing Transiting Exoplanet Atmospheres with JWST,5:30 PM,6:30 PM,M. R. Line*; T. P. Greene; C. Montero; J. J. Fortney,Sessioned,22
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Effect of Atmospheric Hydrogen on the Albedo and Surface Temperature of Mars,5:30 PM,6:30 PM,N. L. Wallack*; L. Kaltenegger; R. Ramirez,Sessioned,23
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Measuring Doppler Beaming with Kepler and TESS,5:30 PM,6:30 PM,L. Mayorga*; J. Jackiewicz,Sessioned,24
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Determining the Atmospheric Nature of Super-Earth and Sub-Neptune Exoplanets,5:30 PM,6:30 PM,J. Lothringer*; I. Crossfield; B. Benneke; H. Knutson; D. Dragomir; J. J. Fortney; A. Howard; P. R. McCullough; R. L. Gilliland; E. Kempton; C. Morley,Sessioned,25
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Atmospheric heating in an irradiated transiting super-Earth and super-Neptune,5:30 PM,6:30 PM,B. P. Miller*; E. Gallo; J. Wright; K. Poppenhaeger,Sessioned,26
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Role of Exotic Molecules In Model Exoplanet Spectra,5:30 PM,6:30 PM,C. Chang*; N. Iyer; C. Morley; J. J. Fortney,Sessioned,27
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Understanding dynamical instability in 4-planet systems with equal orbital spacing (Δ),5:30 PM,6:30 PM,D. R. Rice*; J. H. Steffen; F. A. Rasio,Sessioned,28
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,From Sub-Neptunes to Earth-like Exoplanets: Modeling Optically Thick and Thin Planetary Atmospheres,5:30 PM,6:30 PM,H. Chen*; L. Rogers; J. Kasting,Sessioned,29
Extrasolar Planets: Characterization and Theory Poster Session,138,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Proxima Centauri's Influence on Planet Formation in Alpha Centauri,5:30 PM,6:30 PM,R. Worth*; S. Sigurdsson,Sessioned,30
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,CELESTA: A Catalog of Earth-Like Exoplanet Survey Targets,5:30 PM,6:30 PM,C. O. Chandler*; I. McDonald; S. R. Kane,Sessioned,1
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Science Yield Modeling with EXOSIMS,5:30 PM,6:30 PM,D. Garrett*; D. Savransky,Sessioned,2
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Archival Legacy Investigation of Circumstellar Environments (ALICE). Survey results,5:30 PM,6:30 PM,R. Soummer*; E. Choquet; L. Pueyo; J. Hagan; E. Gofas-Salas; A. Rajan; C. Chen; M. D. Perrin; J. H. Debes; D. A. Golimowski; D. C. Hines; M. N'Diaye; G. Schneider; D. Mawet; C. Marois,Sessioned,3
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Search for Rocky Planets in Close Orbits around White Dwarfs with COS,5:30 PM,6:30 PM,P. Sandhaus*; J. H. Debes; J. Ely; D. C. Hines,Sessioned,4
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Cloud-Kepler: Towards Efficient Identification and Characterization of Aperiodic and Infrequent Transit Events,5:30 PM,6:30 PM,G. M. Duvvuri*; P. R. McCullough; S. W. Fleming,Sessioned,5
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An Aperture Photometry Pipeline for K2 Data,5:30 PM,6:30 PM,D. L. Buzasi*; L. Carboneau; A. Lezcano; E. Vydra,Sessioned,6
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Detection of Kepler K2 Campaigns 3 and 4 Planet Candidates,5:30 PM,6:30 PM,K. L. Karnes*; T. Kahre; J. C. Smith; D. A. Caldwell,Sessioned,7
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Systematic Search for Exoplanet Candidates in K2 Data,5:30 PM,6:30 PM,T. Kahre*; K. L. Karnes; D. A. Caldwell; J. C. Smith,Sessioned,8
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Modeling Starspots on Kepler-78,5:30 PM,6:30 PM,A. Mayo*; A. Vanderburg; X. Dumusque; J. A. Johnson,Sessioned,9
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A CubeSat to Search for Transiting Planets Around the Young Star Beta Pictoris,5:30 PM,6:30 PM,A. Blake*; A. Roberge,Sessioned,10
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Transit Photometry results on WASP 58b and a KELT target,5:30 PM,6:30 PM,R. R. Yeigh*; H. Jang-Condell; D. Kasper; T. G. Ellis,Sessioned,11
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Enabling Remote and Automated Operations at The Red Buttes Observatory,5:30 PM,6:30 PM,T. G. Ellis*; H. Jang-Condell; D. Kasper; R. R. Yeigh,Sessioned,12
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Design Considerations: Falcon M Dwarf Habitable Exoplanet Survey,5:30 PM,6:30 PM,D. Polsgrove*; S. Novotny; D. J. Della-Rose; F. Chun; R. Tippets; P. O'Shea; M. Miller,Sessioned,13
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The First Year of Robotic Science with MINERVA,5:30 PM,6:30 PM,N. McCrady*; J. A. Johnson; J. Wright; R. Wittenmyer; J. Eastman; T. G. Beatty; M. Bottom; S. Johnson,Sessioned,14
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Calibrating Images from the MINERVA Cameras,5:30 PM,6:30 PM,A. M. Colón*,Sessioned,15
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,High Precision Photometry of Bright Transiting Exoplanet Hosts,5:30 PM,6:30 PM,M. Wilson*; J. Eastman; J. A. Johnson,Sessioned,16
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An Infrared Radial Velocity Search for 'Hot Jupiters' Around Young Stars,5:30 PM,6:30 PM,J. R. Cantrell*; R. White; J. I. Bailey,Sessioned,17
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Pipeline Development and Early Performance of the High-resolution, High-precision Radial Velocity TOU Spectrograph",5:30 PM,6:30 PM,B. Ma*; J. Ge; F. Varosi,Sessioned,18
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Telluric Line Effect on High Precision Radial Velocity Survey of K and M Dwarfs,5:30 PM,6:30 PM,S. Sithajan*; J. Ge; J. Wang,Sessioned,19
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Simulations of Detectability of Extrasolar Planets by a Joint Doppler and WFIRST-AFTA Coronagraph Survey,5:30 PM,6:30 PM,A. Chontos*; B. Macintosh; E. L. Nielsen,Sessioned,20
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Estimation of chromatic errors from broadband images for high contrast imaging: sensitivity analysis,5:30 PM,6:30 PM,D. Sirbu*; R. Belikov,Sessioned,21
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Managing the optical wavefront for high contrast exoplanet imaging with the WFIRST-AFTA coronagraph,5:30 PM,6:30 PM,J. T. Trauger*; J. E. Krist; D. Moody,Sessioned,22
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characterizing Exoplanet Motions Using Random Orbit Generation for the Gemini Planet Imager Exoplanet Survey,5:30 PM,6:30 PM,S. C. Blunt*; E. Nielsen; F. Marchis; R. De Rosa; Q. Konopacky; B. Macintosh; J. Wang; C. Marois; L. Pueyo; J. Rameau; J. R. Graham,Sessioned,23
Extrasolar Planets: Detection Poster Session,137,Poster Session,,05-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,First Experimental Results Using Sparse Aperture Mask for Low Order Wavefront Sensing,5:30 PM,6:30 PM,H. Subedi*; N. T. Zimmerman; N. J. Kasdin; A. Riggs,Sessioned,25
